,date,macd,signal,buy/sell
0,2019-07-09,0.0,0.0,sell
1,2019-07-10,-0.025071342446526756,-0.005014268489305352,sell
2,2019-07-11,-0.06603386425720359,-0.017218187642885,sell
3,2019-07-12,-0.17627518403937614,-0.04902958692218323,sell
4,2019-07-15,-0.21823783990496892,-0.08287123751874037,sell
5,2019-07-16,-0.24250701036799427,-0.11479839208859116,sell
6,2019-07-17,-0.23626748894043104,-0.13909221145895914,sell
7,2019-07-18,-0.25523247894888357,-0.16232026495694402,sell
8,2019-07-19,-0.2701319462635432,-0.18388260121826386,sell
9,2019-07-22,-0.3096972120955783,-0.20904552339372676,sell
10,2019-07-23,-0.3615001828280775,-0.23953645528059692,sell
11,2019-07-24,-0.41418946640237664,-0.27446705750495287,sell
12,2019-07-25,-0.46402321780083255,-0.31237828956412883,sell
13,2019-07-26,-0.49269058727585957,-0.348440749106475,sell
14,2019-07-29,-0.5234726909992808,-0.38344713748503617,sell
15,2019-07-30,-0.5276139594348379,-0.41228050187499654,sell
16,2019-07-31,-0.5258779032062826,-0.4349999821412538,sell
17,2019-08-01,-0.5514124374179801,-0.4582824731965991,sell
18,2019-08-02,-0.4803345473156213,-0.46269288802040354,sell
19,2019-08-05,-0.4494061345047662,-0.4600355373172761,buy
20,2019-08-06,-0.3876078932229703,-0.445550008498415,buy
21,2019-08-07,-0.33993492779608303,-0.4244269923579486,buy
22,2019-08-08,-0.27806353105166437,-0.3951543000966918,buy
23,2019-08-09,-0.23674341509136454,-0.3634721230956264,buy
24,2019-08-12,-0.20314699486028331,-0.3314070974485578,buy
25,2019-08-13,-0.1336584959967695,-0.29185737715820015,buy
26,2019-08-14,-0.17642921670666212,-0.2687717450678926,buy
27,2019-08-15,-0.3063697246590351,-0.2762913409861211,sell
28,2019-08-16,-0.3744505865649934,-0.2959231901018956,sell
29,2019-08-19,-0.440482954979867,-0.3248351430774899,sell
30,2019-08-20,-0.4989962286817615,-0.3596673601983442,sell
31,2019-08-21,-0.5339915987301538,-0.39453220790470617,sell
32,2019-08-22,-0.5929310347923753,-0.43421197328224,sell
33,2019-08-23,-0.6692209058474887,-0.48121375979528974,sell
34,2019-08-26,-0.7428238844570636,-0.5335357847276445,sell
35,2019-08-27,-0.8524169850380474,-0.5973120247897251,sell
36,2019-08-28,-0.8953838960620466,-0.6569263990441894,sell
37,2019-08-29,-0.9033583888090178,-0.7062127969971551,sell
38,2019-08-30,-0.9188525595432608,-0.7487407495063763,sell
39,2019-09-03,-0.8846095744681826,-0.7759145144987375,sell
40,2019-09-04,-0.8500595954346046,-0.790743530685911,sell
41,2019-09-05,-0.7646356747691634,-0.7855219595025615,buy
42,2019-09-06,-0.6558118290931887,-0.759579933420687,buy
43,2019-09-09,-0.6073205924010914,-0.729128065216768,buy
44,2019-09-10,-0.5476601003040997,-0.6928344722342343,buy
45,2019-09-11,-0.48191973507289987,-0.6506515248019674,buy
46,2019-09-12,-0.4634871385185093,-0.6132186475452759,buy
47,2019-09-13,-0.4363897896795699,-0.5778528759721346,buy
48,2019-09-16,-0.4315707847951593,-0.5485964577367396,buy
49,2019-09-17,-0.4508980093336703,-0.5290567680561258,buy
50,2019-09-18,-0.4645151641322194,-0.5161484472713446,buy
51,2019-09-19,-0.502040219301005,-0.5133268016772766,buy
52,2019-09-20,-0.5392133996458703,-0.5185041212709953,sell
53,2019-09-23,-0.5763503521035958,-0.5300733674375154,sell
54,2019-09-24,-0.6726910086676483,-0.5585968956835421,sell
55,2019-09-25,-0.7463307696586661,-0.596143670478567,sell
56,2019-09-26,-0.8065813196359848,-0.6382312003100505,sell
57,2019-09-27,-0.8895750931135034,-0.6884999788707411,sell
58,2019-09-30,-0.9732192627568139,-0.7454438356479558,sell
59,2019-10-01,-1.0704301318558542,-0.8104410948895355,sell
60,2019-10-02,-1.1270199846813718,-0.8737568728479028,sell
61,2019-10-03,-1.1142699812339387,-0.92185949452511,sell
62,2019-10-04,-1.0812589125652323,-0.9537393781331345,sell
63,2019-10-07,-1.0777307970791377,-0.9785376619223352,sell
64,2019-10-08,-1.0884934482843427,-1.0005288191947366,sell
65,2019-10-09,-1.0808341895021343,-1.016589893256216,sell
66,2019-10-10,-1.1377297939427926,-1.0408178733935314,sell
67,2019-10-11,-1.1759770052085958,-1.0678496997565443,sell
68,2019-10-14,-1.2050769168147077,-1.095295143168177,sell
69,2019-10-15,-1.147778047375711,-1.105791724009684,sell
70,2019-10-16,-1.1060281736615938,-1.105839013940066,sell
71,2019-10-17,-1.0208949086327905,-1.088850192878611,buy
72,2019-10-18,-0.9772181473171262,-1.066523783766314,buy
73,2019-10-21,-0.9244881222828987,-1.038116651469631,buy
