,date,macd,signal,buy/sell
0,2011-04-20,0.0,0.0,sell
1,2011-04-21,0.02511729270304741,0.005023458540609482,buy
2,2011-04-25,0.03857298189399572,0.01173336321128673,buy
3,2011-04-26,0.06648589938095384,0.022683870445220154,buy
4,2011-04-27,0.10951833132891053,0.04005076262195823,buy
5,2011-04-28,0.1397014606244582,0.05998090222245823,buy
6,2011-04-29,0.15034005484578827,0.07805273274712424,buy
7,2011-05-02,0.16107227662446277,0.09465664152259196,buy
8,2011-05-03,0.19732884455070376,0.11519108212821433,buy
9,2011-05-04,0.220289792013169,0.13621082410520527,buy
10,2011-05-05,0.20973804516917482,0.15091626831799917,buy
11,2011-05-06,0.20090712435759883,0.1609144395259191,buy
12,2011-05-09,0.19580888538521535,0.16789332869777837,buy
13,2011-05-10,0.2051100247382891,0.1753366679058805,buy
14,2011-05-11,0.19590332316298031,0.1794499989573005,buy
15,2011-05-12,0.19833069918605517,0.18322613900305143,buy
16,2011-05-13,0.18746872101189993,0.18407465540482115,buy
17,2011-05-16,0.16083869040012644,0.17942746240388222,sell
18,2011-05-17,0.14088191314358767,0.17171835255182333,sell
19,2011-05-18,0.1272944235653206,0.1628335667545228,sell
20,2011-05-19,0.12433175614700076,0.15513320463301838,sell
21,2011-05-20,0.11694019000735167,0.14749460170788503,sell
22,2011-05-23,0.0988560717912712,0.13776689572456227,sell
23,2011-05-24,0.08721499649523068,0.12765651587869598,sell
24,2011-05-25,0.06979343695410378,0.11608390009377755,sell
25,2011-05-26,0.060372036958426634,0.10494152746670737,sell
26,2011-05-27,0.06052267265703648,0.0960577565047732,sell
27,2011-05-31,0.07228146768887811,0.0913024987415942,sell
28,2011-06-01,0.06286003725939437,0.08561400644515424,sell
29,2011-06-02,0.04562846633882245,0.07761689842388789,sell
30,2011-06-03,0.016994262183402498,0.06549237117579082,sell
31,2011-06-06,-0.018877021837891306,0.048618492573054395,sell
32,2011-06-07,-0.04904984832262471,0.029084824393918574,sell
33,2011-06-08,-0.07075995883102593,0.009115867748929675,sell
34,2011-06-09,-0.08741999148826096,-0.010191304098508451,sell
35,2011-06-10,-0.09901941629334132,-0.027956926537475026,sell
36,2011-06-13,-0.09738894850591606,-0.04184333093116324,sell
37,2011-06-14,-0.08404146965915515,-0.05028295867676163,sell
38,2011-06-15,-0.09271995724492399,-0.0587703583903941,sell
39,2011-06-16,-0.09480920256320502,-0.06597812722495629,sell
40,2011-06-17,-0.07983855035419296,-0.06875021185080363,sell
41,2011-06-20,-0.05852333579754543,-0.06670483664015199,buy
42,2011-06-21,-0.034305904567084156,-0.06022505022553842,buy
43,2011-06-22,-0.025444772778151048,-0.05326899473606095,buy
44,2011-06-23,-0.02551917323954811,-0.04771903043675838,buy
45,2011-06-24,-0.03807344743615104,-0.045789913836636914,buy
46,2011-06-27,-0.03286228516141776,-0.043204388101593084,buy
47,2011-06-28,-0.01653108571706241,-0.037869727624686954,buy
48,2011-06-29,0.0074124511033133444,-0.028813291879086895,buy
49,2011-06-30,0.03293724774015061,-0.016463183955239394,buy
50,2011-07-01,0.06489059936299668,-0.00019242729159217944,buy
51,2011-07-05,0.08690226781586219,0.017226511729898697,buy
52,2011-07-06,0.10454654403239871,0.0346905181903987,buy
53,2011-07-07,0.11717899355780759,0.05118821326388048,buy
54,2011-07-08,0.12157397206158649,0.06526536502342169,buy
55,2011-07-11,0.10789086699514883,0.07379046541776713,buy
56,2011-07-12,0.09455195371884528,0.07794276307798276,buy
57,2011-07-13,0.08533858133403527,0.07942192672919327,buy
58,2011-07-14,0.06603631839330859,0.07674480506201634,sell
59,2011-07-15,0.037660920870472125,0.0689280282237075,sell
60,2011-07-18,0.006204020874044147,0.056383226753774836,sell
61,2011-07-19,-0.00879026865863608,0.04334852767129266,sell
62,2011-07-20,-0.025067626123572495,0.029665296912319627,sell
63,2011-07-21,-0.03521940366353604,0.016688356797148494,sell
64,2011-07-22,-0.04092016290706724,0.0051666528563053486,sell
65,2011-07-25,-0.06390195931106746,-0.008647069577169212,sell
66,2011-07-26,-0.07979025438047671,-0.022875706537830713,sell
67,2011-07-27,-0.09040366259641175,-0.036381297749546924,sell
68,2011-07-28,-0.1300966336114584,-0.05512436492192922,sell
69,2011-07-29,-0.15971253245673367,-0.07604199842889012,sell
70,2011-08-01,-0.16905864479727484,-0.09464532770256706,sell
71,2011-08-02,-0.19019505270550496,-0.11375527270315465,sell
72,2011-08-03,-0.18977244971732432,-0.12895870810598858,sell
73,2011-08-04,-0.22061287385979966,-0.1472895412567508,sell
74,2011-08-05,-0.23531676548832792,-0.16489498610306624,sell
75,2011-08-08,-0.30110114542303634,-0.1921362179670603,sell
76,2011-08-09,-0.2959679127311752,-0.2129025569198833,sell
77,2011-08-10,-0.3334814549985978,-0.2370183365356262,sell
78,2011-08-11,-0.3331454530561331,-0.2562437598397276,sell
79,2011-08-12,-0.33927156807567727,-0.27284932148691754,sell
80,2011-08-15,-0.3128895908264262,-0.28085737535481925,sell
81,2011-08-16,-0.28957980490530133,-0.28260186126491565,sell
82,2011-08-17,-0.25042453954661426,-0.2761663969212554,buy
83,2011-08-18,-0.2497643623909731,-0.2708859900151989,buy
84,2011-08-19,-0.2681605408170604,-0.2703409001755712,buy
85,2011-08-22,-0.2582209660240551,-0.267916913345268,buy
86,2011-08-23,-0.2229534238216857,-0.25892421544055155,buy
87,2011-08-24,-0.17194765422043545,-0.24152890319652837,buy
88,2011-08-25,-0.14715651583262712,-0.22265442572374813,buy
89,2011-08-26,-0.1269818096461819,-0.2035199025082349,buy
