,date,macd,signal,buy/sell
0,2011-04-20,0.0,0.0,sell
1,2011-04-21,0.03316239142350241,0.006632478284700483,buy
2,2011-04-25,0.0481820201060259,0.014942386648965567,buy
3,2011-04-26,0.09467746874786087,0.03088940306874463,buy
4,2011-04-27,0.1568380995086116,0.05607914235671803,buy
5,2011-04-28,0.21786219574769916,0.08843575303491427,buy
6,2011-04-29,0.2737735029980328,0.12550330302753798,buy
7,2011-05-02,0.3045809486705977,0.16131883215614995,buy
8,2011-05-03,0.29984790012802875,0.18902464575052572,buy
9,2011-05-04,0.26450062304439115,0.20411984120929882,buy
10,2011-05-05,0.202044355436378,0.20370474405471467,sell
11,2011-05-06,0.17267998734108403,0.19749979271198856,sell
12,2011-05-09,0.17663290879656302,0.19332641592890346,sell
13,2011-05-10,0.21722723795220134,0.19810658033356304,buy
14,2011-05-11,0.1978740689194538,0.19806007805074122,sell
15,2011-05-12,0.20585589133277438,0.19961924070714787,buy
16,2011-05-13,0.17095807172610478,0.19388700691093924,sell
17,2011-05-16,0.09933526791213865,0.17497665911117916,sell
18,2011-05-17,0.03503347167320925,0.14698802162358518,sell
19,2011-05-18,0.030822719411659705,0.1237549611812001,sell
20,2011-05-19,0.03987205718387088,0.10697838038173425,sell
21,2011-05-20,0.020402692854908366,0.08966324287636908,sell
22,2011-05-23,-0.05434877212785949,0.06086083987552337,sell
23,2011-05-24,-0.11794025800112706,0.025100620300193287,sell
24,2011-05-25,-0.14595825798203776,-0.009111155356252922,sell
25,2011-05-26,-0.13661390255482075,-0.03461170479596649,sell
26,2011-05-27,-0.11009685609113262,-0.04970873505499972,sell
27,2011-05-31,-0.0415017719934454,-0.04806734244268886,buy
28,2011-06-01,-0.08747239599185974,-0.05594835315252304,sell
29,2011-06-02,-0.12108227466988808,-0.06897513745599605,sell
30,2011-06-03,-0.19612742006552963,-0.09440559397790277,sell
31,2011-06-06,-0.3020767133259312,-0.13593981784750847,sell
32,2011-06-07,-0.38376000837396873,-0.18550385595280053,sell
33,2011-06-08,-0.46948817313544566,-0.24230071938932957,sell
34,2011-06-09,-0.4995543245044871,-0.2937514404123611,sell
35,2011-06-10,-0.5893829042942471,-0.35287773318873833,sell
36,2011-06-13,-0.6650396497197235,-0.4153101164949353,sell
37,2011-06-14,-0.6504152513255264,-0.46233114346105353,sell
38,2011-06-15,-0.7070381738147304,-0.5112725495317889,sell
39,2011-06-16,-0.7503978767366775,-0.5590976149727667,sell
40,2011-06-17,-0.768763181751666,-0.6010307283285465,sell
41,2011-06-20,-0.7489906697596069,-0.6306227166147587,sell
42,2011-06-21,-0.6494712594383714,-0.6343924251794812,sell
43,2011-06-22,-0.5916157298963256,-0.6258370861228502,buy
44,2011-06-23,-0.5339003814535488,-0.6074497451889899,buy
45,2011-06-24,-0.5374471640587188,-0.5934492289629356,buy
46,2011-06-27,-0.4916364965674802,-0.5730866824838445,buy
47,2011-06-28,-0.377953182624978,-0.5340599825120713,buy
48,2011-06-29,-0.246360067829535,-0.47651999957556407,buy
49,2011-06-30,-0.09444992976354172,-0.40010598561315963,buy
50,2011-07-01,0.09217270093638774,-0.3016502483032502,buy
51,2011-07-05,0.24795172945720623,-0.19172985275115895,buy
52,2011-07-06,0.3820374865229681,-0.07697638489633354,buy
53,2011-07-07,0.5379385042483307,0.0460065929325993,buy
54,2011-07-08,0.6242290930878625,0.16165109296365193,buy
55,2011-07-11,0.5941327008795625,0.24814741454683403,buy
56,2011-07-12,0.5375944731494684,0.3060368262673609,buy
57,2011-07-13,0.5069893538730383,0.3462273317884964,buy
58,2011-07-14,0.4361848375310373,0.3642188329370046,buy
59,2011-07-15,0.4217436520608544,0.3757237967617746,buy
60,2011-07-18,0.37306631567751936,0.3751923005449236,sell
61,2011-07-19,0.42268344077333353,0.3846905285906056,buy
62,2011-07-20,0.4447096004860285,0.3966943429696902,buy
63,2011-07-21,0.5071490568843231,0.4187852857526168,buy
64,2011-07-22,0.5679802312348485,0.4486242748490632,buy
65,2011-07-25,0.587227395920479,0.47634489906334637,buy
66,2011-07-26,0.5821683449438737,0.4975095882394519,buy
67,2011-07-27,0.4639955801983291,0.4908067866312274,sell
68,2011-07-28,0.36116705748187883,0.46487884080135766,sell
69,2011-07-29,0.2503025847020979,0.4219635895815057,sell
70,2011-08-01,0.14218849125890642,0.3660085699169859,sell
71,2011-08-02,-0.0672818304190983,0.27935048984976907,sell
72,2011-08-03,-0.19595278194746157,0.18428983549032296,sell
73,2011-08-04,-0.5210057012865477,0.043230728134948854,sell
74,2011-08-05,-0.7796476192814978,-0.12134494134834048,sell
75,2011-08-08,-1.2472963849699354,-0.3465352300726595,sell
76,2011-08-09,-1.4090926222830475,-0.5590467085147371,sell
77,2011-08-10,-1.686115126126694,-0.7844603920371285,sell
78,2011-08-11,-1.709130571049009,-0.9693944278395046,sell
79,2011-08-12,-1.6652218287866845,-1.1085599080289406,sell
80,2011-08-15,-1.534699415336874,-1.1937878094905274,sell
81,2011-08-16,-1.4559973032556428,-1.2462297082435505,sell
82,2011-08-17,-1.3848214035071322,-1.273948047296267,sell
83,2011-08-18,-1.5149793455534493,-1.3221543069477035,sell
84,2011-08-19,-1.6704642650520256,-1.391816298568568,sell
85,2011-08-22,-1.767584989325151,-1.4669700367198848,sell
86,2011-08-23,-1.6756157787661365,-1.5086991851291351,sell
87,2011-08-24,-1.5356315382222618,-1.5140856557477607,sell
88,2011-08-25,-1.4785225174898855,-1.5069730280961857,buy
89,2011-08-26,-1.3355402553291,-1.4726864735427685,buy
