,date,macd,signal,buy/sell
0,2011-04-20,0.0,0.0,sell
1,2011-04-21,0.0030806451781177913,0.0006161290356235583,buy
2,2011-04-25,0.006691437506978204,0.0018311907298944876,buy
3,2011-04-26,0.019918069887618017,0.005448566561439194,buy
4,2011-04-27,0.034366458877022055,0.011232145024555766,buy
5,2011-04-28,0.047142833573360576,0.01841428273431673,buy
6,2011-04-29,0.08618905206995997,0.03196923660144538,buy
7,2011-05-02,0.10286011054508748,0.0461474113901738,buy
8,2011-05-03,0.09934659279878844,0.05678724767189673,buy
9,2011-05-04,0.07328185817071109,0.060086169771659606,buy
10,2011-05-05,0.035390438809914215,0.055147023579310527,sell
11,2011-05-06,0.005916568052493076,0.045300932473947036,sell
12,2011-05-09,-0.009233578482055194,0.03439403028274659,sell
13,2011-05-10,-0.011140045657079156,0.02528721509478144,sell
14,2011-05-11,-0.03099063550215142,0.014031644975394872,sell
15,2011-05-12,-0.035715622185303886,0.00408219154325512,sell
16,2011-05-13,-0.05934229047680617,-0.008602704860757138,sell
17,2011-05-16,-0.08703457083466581,-0.024289078055538874,sell
18,2011-05-17,-0.11328394887532411,-0.04208805221949592,sell
19,2011-05-18,-0.12331716057767395,-0.05833387389113153,sell
20,2011-05-19,-0.12484346120216117,-0.07163579135333746,sell
21,2011-05-20,-0.14802905581332304,-0.08691444424533458,sell
22,2011-05-23,-0.18422278963783434,-0.10637611332383454,sell
23,2011-05-24,-0.219105709493288,-0.12892203255772522,sell
24,2011-05-25,-0.24763556680028742,-0.15266473940623768,sell
25,2011-05-26,-0.2690142419646797,-0.1759346399179261,sell
26,2011-05-27,-0.27284052746927934,-0.19531581742819676,sell
27,2011-05-31,-0.23021751687825365,-0.20229615731820816,sell
28,2011-06-01,-0.2323985200762415,-0.20831662986981486,sell
29,2011-06-02,-0.2228332279520977,-0.21121994948627143,sell
30,2011-06-03,-0.2115674307805122,-0.2112894457451196,sell
31,2011-06-06,-0.21450063582178203,-0.2119316837604521,sell
32,2011-06-07,-0.2032642152684705,-0.21019819006205578,buy
33,2011-06-08,-0.2211013805911719,-0.212378828167879,sell
34,2011-06-09,-0.2270119280920948,-0.21530544815272218,sell
35,2011-06-10,-0.24507427778227964,-0.2212592140786337,sell
36,2011-06-13,-0.25581690607354624,-0.22817075247761623,sell
37,2011-06-14,-0.2274320948500126,-0.2280230209520955,buy
38,2011-06-15,-0.2426485579067279,-0.230948128343022,sell
39,2011-06-16,-0.25550169976657955,-0.23585884262773354,sell
40,2011-06-17,-0.2521860529900444,-0.23912428470019573,sell
41,2011-06-20,-0.26273339865889334,-0.24384610749193528,sell
42,2011-06-21,-0.24850284976870007,-0.24477745594728822,sell
43,2011-06-22,-0.2345216180197589,-0.24272628836178237,buy
44,2011-06-23,-0.2271252662307539,-0.2396060839355767,buy
45,2011-06-24,-0.23805495919640407,-0.2392958589877422,buy
46,2011-06-27,-0.23642926212973236,-0.23872253961614026,buy
47,2011-06-28,-0.2193783271917269,-0.2348536971312576,buy
48,2011-06-29,-0.1854520189687925,-0.22497336149876457,buy
49,2011-06-30,-0.14305213134574934,-0.20858911546816153,buy
50,2011-07-01,-0.10010366151028904,-0.18689202467658705,buy
51,2011-07-05,-0.07528172736159,-0.16456996521358763,buy
52,2011-07-06,-0.07366647024451467,-0.14638926621977305,buy
53,2011-07-07,-0.06657759840362765,-0.13042693265654398,buy
54,2011-07-08,-0.07770905231403447,-0.11988335658804208,buy
55,2011-07-11,-0.12105580743234334,-0.12011784675690233,sell
56,2011-07-12,-0.17357348397264794,-0.13080897420005147,sell
57,2011-07-13,-0.19841274181546886,-0.14432972772313496,sell
58,2011-07-14,-0.22869570326715838,-0.16120292283193965,sell
59,2011-07-15,-0.24233925334788076,-0.17743018893512788,sell
60,2011-07-18,-0.26958027760410275,-0.19586020666892284,sell
61,2011-07-19,-0.26853748645002185,-0.21039566262514267,sell
62,2011-07-20,-0.2515772624117325,-0.21863198258246067,sell
63,2011-07-21,-0.22171609863018027,-0.2192488057920046,sell
64,2011-07-22,-0.18333394573172335,-0.21206583377994834,buy
65,2011-07-25,-0.16986329737025407,-0.2036253264980095,buy
66,2011-07-26,-0.15799674981536604,-0.19449961116148082,buy
67,2011-07-27,-0.17680301968062295,-0.19096029286530924,buy
68,2011-07-28,-0.19263753534094263,-0.19129574136043592,sell
69,2011-07-29,-0.20534015992969756,-0.19410462507428827,sell
70,2011-08-01,-0.21855937232333922,-0.19899557452409847,sell
71,2011-08-02,-0.25632978351183233,-0.21046241632164525,sell
72,2011-08-03,-0.2886080734734513,-0.22609154775200646,sell
73,2011-08-04,-0.37602356230904554,-0.25607795066341427,sell
74,2011-08-05,-0.4420953616181773,-0.2932814328543669,sell
75,2011-08-08,-0.5604683955989724,-0.346718825403288,sell
76,2011-08-09,-0.6063283596716804,-0.3986407322569665,sell
77,2011-08-10,-0.6571538764614857,-0.45034336109787043,sell
78,2011-08-11,-0.6402683678074279,-0.48832836243978195,sell
79,2011-08-12,-0.6259725386571127,-0.5158571976832481,sell
80,2011-08-15,-0.5758652034462806,-0.5278587988358546,sell
81,2011-08-16,-0.5449966929094625,-0.5312863776505762,sell
82,2011-08-17,-0.5096173969141322,-0.5269525815032874,buy
83,2011-08-18,-0.5284232907260478,-0.5272467233478395,sell
84,2011-08-19,-0.5633014958330307,-0.5344576778448777,sell
85,2011-08-22,-0.581716446142261,-0.5439094315043544,sell
86,2011-08-23,-0.5540035344938445,-0.5459282521022525,sell
87,2011-08-24,-0.5141403444731978,-0.5395706705764416,buy
